student_id,Formative,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Summative,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Section 21,Classes ,2D Arrays,,,,,,,,,,,,Classes ,2D Arrays,,,,,,,,,,,,
,StepTracker ,Llightboard ,,,,,,,,,,,,Hidden Word,GridPath,,,,,,,,,,,,
,,Constructor (a),Method (b),,Overall,,,,,,,,,,getNextLocation (a),sumPath (b),,Overall,,,Curved,,,,,,
Semester 1,9,4,5,9.0,18,100.0,,Distribution,,,,,,9,3,6,9.0,18,100.0,,100,,Distribution,,,,
,,,,,,,,Score,Semester 1,Semester 2,Overall,,,,,,,,,,,,Score,Semester 1,Semester 2,Overall,Overall (curved)
sec21_5,4,1,1,2.0,6,33.0,1.0,1,2,5,7,,,8,2,3,5.0,13,72.0,5.0,92,7.0,1,1,2,3,2
sec21_6,3,3,0,3.0,6,33.0,1.0,2,1,2,3,,,3,0,0,0.0,3,17.0,1.0,37,2.0,2,0,1,1,1
sec21_7,6,2,0,2.0,8,44.0,2.0,3,0,0,0,,,8,2,4,6.0,14,78.0,6.0,98,7.0,3,0,2,2,1
,4.3,2,0.3,2.3,6.7,36.7,1.3,4,0,2,2,,,6.3,1.3,2.3,3.7,10,55.7,4.0,75.7,5.3,4,0,2,2,2
Semester 2,,,,,,,,5,0,1,1,,,,,,,,,,,,5,1,4,5,2
,,,,,,,,6,0,2,2,,,,,,,,,,,,6,1,3,4,4
sec21_11,9,4,5,9.0,18,100.0,7.0,7,0,3,3,,,7,2,4,6.0,13,72.0,5.0,82,6.0,7,0,1,1,6
sec21_12,1,2,3,5.0,6,33.0,1.0,,,,18,,,7,1,1,2.0,9,50.0,3.0,60,4.0,,,,18,
sec21_13,4,0,0,0.0,4,22.0,1.0,,,,,,,7,1,4,5.0,12,67.0,5.0,77,6.0,,,,,
sec21_14,7,3,1,4.0,11,61.0,4.0,,,,,,,8,1,3,4.0,12,67.0,5.0,77,6.0,,,,,
sec21_15,3,4,1,5.0,8,44.0,2.0,,,,,,,7,0,3,3.0,10,56.0,4.0,66,5.0,,,,,
sec21_16,5,0,5,5.0,10,56.0,4.0,,,,,,,4,1,4,5.0,9,50.0,3.0,60,4.0,,,,,
sec21_17,5,0,0,0.0,5,28.0,1.0,,,,,,,3,0,0,0.0,3,17.0,1.0,27,1.0,,,,,
sec21_18,6,1,1,2.0,8,44.0,2.0,,,,,,,8,0,0,0.0,8,44.0,2.0,54,3.0,,,,,
sec21_19,7,4,3,7.0,14,78.0,6.0,,,,,,,8,3,4,7.0,15,83.0,6.0,93,7.0,,,,,
sec21_20,7,2,3,5.0,12,67.0,5.0,,,,,,,7,2,4,6.0,13,72.0,5.0,82,6.0,,,,,
sec21_21,8,4,4,8.0,16,89.0,7.0,,,,,,,9,3,4,7.0,16,89.0,7.0,99,7.0,,,,,
sec21_22,0,0,0,0.0,0,0.0,1.0,,,,,,,0,0,0,0.0,0,0.0,1.0,10,1.0,,,,,
sec21_23,4,0,2,2.0,6,33.0,1.0,,,,,,,8,2,0,2.0,10,56.0,4.0,66,5.0,,,,,
sec21_24,8,4,5,9.0,17,94.0,7.0,,,,,,,8,2,4,6.0,14,78.0,6.0,88,7.0,,,,,
sec21_25,6,4,5,9.0,15,83.0,6.0,,,,,,,7,3,4,7.0,14,78.0,6.0,88,7.0,,,,,
,5.3,2.1,2.5,4.7,10,55.5,3.7,,,,,,,6.5,1.4,2.6,4.0,10.5,58.6,4.2,68.6,5.0,,,,,
,5.2,2.1,2.2,4.3,9.4,52.3,3.3,,,,,,,6.5,1.4,2.6,3.9,10.4,58.1,4.2,69.8,5.1,,,,,
